"sum(2023)_Current Assets";"sum(2023)_Current Liabilities";"sum(2023)_End Cash Position";"sum(2023)_Net Income";"sum(2023)_Total Assets";"sum(2023)_Total Equity Gross Minority Interest";"sum(2023)_Total Liabilities Net Minority Interest";"sum(2023)_Total Revenue";"id";"cluster"
-0.16757178647124785;-0.07132480885581456;-0.11799200439546426;-0.08186752296346274;-0.13488153927599184;-0.18479748133889834;-0.12089768673511729;-0.03252122501608211;51;"cluster_0"
0.140443821697858;0.2550777803940638;-0.13122967813538414;-0.059383052988531575;-0.14736682688956232;-0.2643478260660876;-0.11890289126973919;0.1694747662494278;52;"cluster_0"
-0.3225998624993076;-0.30399054173105017;-0.17454865083263907;-0.09832692177433394;-0.18411796774751443;-0.27811802671361685;-0.1595683333288312;-0.3029034943682204;53;"cluster_0"
0.48766330456165086;0.26129632855921225;-0.007239257982825585;0.21410958043107559;-0.05069600435024039;0.2773358661400523;-0.11866818964494365;0.5626694538065712;54;"cluster_0"
0.5898408886092378;-0.1520175460355385;-0.10006648287167286;0.1800319996770915;-0.10829490521678854;0.10049735707376198;-0.14961812743535782;0.020891337866503653;55;"cluster_0"
-0.32547122902645337;-0.3056696033298343;0.05386025668420718;-0.08613927842595795;-0.06069128416351292;-0.14204223706639796;-0.04196385744367614;-0.27136494609317924;56;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.039054473101629454;-0.08208081516622591;-0.053109168158890635;-0.14959000063323524;-0.03138052937727953;-0.27553557523405964;57;"cluster_0"
-0.26927642631202814;-0.2678135028582441;-0.1726731456971622;-0.0996180492775478;-0.1794977191207392;-0.27515920445306397;-0.1547152225437153;-0.26165733085733317;58;"cluster_0"
-0.28062712823654856;-0.13165912157072795;-0.16622520482882555;-0.073788620475039;-0.14681465571170887;-0.18310291633572653;-0.13540372733934908;-0.2614334219063499;59;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.04100899373228707;-0.13797891055586456;-0.13608395378305052;-0.1612718911189803;-0.12729091564420256;-0.29464827680717093;60;"cluster_0"
-0.3230914940597276;-0.30454706063724407;-0.17493615989553027;-0.09988359137082062;-0.1835298143157922;-0.2745929164481299;-0.15961535789442738;-0.3055472957867669;61;"cluster_0"
-0.28767769241572727;-0.2587506899849627;-0.1748426747204037;-0.11742005203239446;-0.17951161430137674;-0.26716563363468304;-0.15641960270191668;-0.27595609989376046;62;"cluster_0"
-0.32547122902645337;-0.3056696033298343;7.431754867887576;8.176988909041182;9.418306611667601;9.00768484670327;9.26455062835057;4.44083053060885;63;"cluster_1"
-0.32547122902645337;-0.3056696033298343;-0.061661349362303906;-0.023750443607770053;-0.09749639289263501;-0.015771037548755345;-0.11226413383726573;-0.25229772236764914;64;"cluster_0"
-0.32547122902645337;-0.3056696033298343;0.8987630251965908;-0.954865156716918;0.42928466814941624;0.1500891129085988;0.47727880249911225;-0.2424017909057711;65;"cluster_0"
