"sum(2020)_Basic EPS";"sum(2021)_Basic EPS";"sum(2022)_Basic EPS";"sum(2022)_Net Income";"sum(2022)_Total Assets";"sum(2022)_Total Liabilities Net Minority Interest";"sum(2022)_Total Revenue";"sum(2023)_Basic EPS"
-0.07255029427315669;-0.21993364489496928;-0.21419099174413816;-0.12414890204924459;-0.13843675612758555;-0.1228065113206869;-0.19918482568231452;-0.20105359529364672
-0.13658836251275308;-0.3762347911477163;0.033553391524487275;0.3215037572292111;0.020325629436719544;-0.022999889458572793;0.11160044702678139;0.0653837315326056
-0.10989470303614761;-0.25535726419239685;-0.2570449501068106;-0.16102319702901066;-0.18846018862069744;-0.16242069998454547;-0.3093558660092893;-0.23115062027964056
-1.3376644496912635;-0.6585893314634074;-1.2161801211385082;-0.18456873335399762;-0.18022487991820413;-0.14073733423033163;-0.30487413738088553;-1.2098779063529763
-0.10994753228191666;-0.25537101700580533;-0.2570239520177322;-0.16102131464264535;-0.1884621518714636;-0.16242149059756303;-0.3093544324032464;-0.2311535896926042
-0.1760396150787122;-0.2481142564190813;-0.24692816999239484;-0.1595488144502411;-0.18495915420247536;-0.15914817280153515;-0.2990129106105735;-0.22082718616499725
-0.1436501540062887;-0.18413682233429612;-0.19091122054537782;-0.14828921537303985;-0.18154937365606433;-0.15769387486976078;-0.2973219179165748;-0.16366598661539347
0.08171144905704511;0.01795627783626972;0.005015831091916046;-0.02165219655887391;-0.16965038601170332;-0.1559863733957189;-0.18368283287908657;0.03626323849169177
-0.5296749392844186;-0.32784682495287126;-0.28128567322465614;-0.17492403744124574;-0.18397703011729302;-0.15576575267649256;-0.3058044646117214;-0.25588650513314265
-0.19052204890607324;-0.22803346138094158;-0.2532441306443312;-0.15717768057585504;-0.06468917092976376;-0.0872950695145017;-0.24318715701787522;-0.2135386270724858
0.19254656716403884;-0.03178165777290405;-0.09832122145939928;-0.15653958500745155;-0.18197960791741577;-0.15790182125626878;-0.29890907995446675;-0.06918466504580045
0.043124407938313965;0.017660972026885283;-0.019090636527254817;-0.13754718592181883;-0.1689296845098841;-0.1539251295363691;-0.16797367457638354;0.12173509118304145
